Geo,Sum of Amount,Product
Australia,80118,50% Dark Bites
Australia,272112.75,70% Dark Bites
Australia,550840.5,85% Dark Bars
Australia,419852.25,99% Dark & Pure
Australia,221805,After Nines
Australia,113769,Almond Choco
Australia,150707.25,Baker's Choco Chips
Australia,306465.75,Caramel Stuffed Bars
Australia,267070.5,Choco Coated Almonds
Australia,386138.25,Drinking Coco
Australia,118264.5,Eclairs
Australia,496876.5,Fruit & Nut Bars
Australia,666456.75,Manuka Honey Choco
Australia,369758.25,Milk Bars
Australia,446240.25,Mint Chip Choco
Australia,123068.25,Orange Choco
Australia,460415.25,Organic Choco Syrup
Australia,714586.5,Peanut Butter Cubes
Australia,474662.25,Raspberry Choco
Australia,429275.25,Smooth Silky Salty
Australia,513209.25,Spicy Special Slims
Australia,227542.5,White Choc
Canada,21534.75,50% Dark Bites
Canada,42423.75,70% Dark Bites
Canada,241735.5,85% Dark Bars
Canada,144092.25,99% Dark & Pure
Canada,71059.5,After Nines
Canada,8235,Almond Choco
Canada,32235.75,Baker's Choco Chips
Canada,89176.5,Caramel Stuffed Bars
Canada,76837.5,Choco Coated Almonds
Canada,149474.25,Drinking Coco
Canada,26709.75,Eclairs
Canada,167742,Fruit & Nut Bars
Canada,160886.25,Manuka Honey Choco
Canada,147267,Milk Bars
Canada,103293,Mint Chip Choco
Canada,41107.5,Orange Choco
Canada,136172.25,Organic Choco Syrup
Canada,281333.25,Peanut Butter Cubes
Canada,262764,Raspberry Choco
Canada,113357.25,Smooth Silky Salty
Canada,243243,Spicy Special Slims
Canada,97922.25,White Choc
India,109941.75,50% Dark Bites
India,312999.75,70% Dark Bites
India,703759.5,85% Dark Bars
India,721323,99% Dark & Pure
India,319576.5,After Nines
India,128819.25,Almond Choco
India,221987.25,Baker's Choco Chips
India,448645.5,Caramel Stuffed Bars
India,433334.25,Choco Coated Almonds
India,533234.25,Drinking Coco
India,197115.75,Eclairs
India,496836,Fruit & Nut Bars
India,876339,Manuka Honey Choco
India,551137.5,Milk Bars
India,498037.5,Mint Chip Choco
India,158109.75,Orange Choco
India,631354.5,Organic Choco Syrup
India,846074.25,Peanut Butter Cubes
India,740040.75,Raspberry Choco
India,377817.75,Smooth Silky Salty
India,640401.75,Spicy Special Slims
India,446791.5,White Choc
New Zealand,42664.5,50% Dark Bites
New Zealand,189769.5,70% Dark Bites
New Zealand,315283.5,85% Dark Bars
New Zealand,443738.25,99% Dark & Pure
New Zealand,140150.25,After Nines
New Zealand,61249.5,Almond Choco
New Zealand,97600.5,Baker's Choco Chips
New Zealand,267034.5,Caramel Stuffed Bars
New Zealand,177689.25,Choco Coated Almonds
New Zealand,261785.25,Drinking Coco
New Zealand,86463,Eclairs
New Zealand,267021,Fruit & Nut Bars
New Zealand,464845.5,Manuka Honey Choco
New Zealand,309899.25,Milk Bars
New Zealand,230728.5,Mint Chip Choco
New Zealand,52821,Orange Choco
New Zealand,362576.25,Organic Choco Syrup
New Zealand,381404.25,Peanut Butter Cubes
New Zealand,438057,Raspberry Choco
New Zealand,222950.25,Smooth Silky Salty
New Zealand,362088,Spicy Special Slims
New Zealand,217001.25,White Choc
UK,75141,50% Dark Bites
UK,214834.5,70% Dark Bites
UK,753120,85% Dark Bars
UK,607113,99% Dark & Pure
UK,264213,After Nines
UK,145950.75,Almond Choco
UK,318863.25,Baker's Choco Chips
UK,552165.75,Caramel Stuffed Bars
UK,519212.25,Choco Coated Almonds
UK,533803.5,Drinking Coco
UK,142992,Eclairs
UK,513551.25,Fruit & Nut Bars
UK,736425,Manuka Honey Choco
UK,518685.75,Milk Bars
UK,484143.75,Mint Chip Choco
UK,197770.5,Orange Choco
UK,707521.5,Organic Choco Syrup
UK,837393.75,Peanut Butter Cubes
UK,758214,Raspberry Choco
UK,385857,Smooth Silky Salty
UK,762421.5,Spicy Special Slims
UK,512412.75,White Choc
USA,51117.75,50% Dark Bites
USA,229583.25,70% Dark Bites
USA,581953.5,85% Dark Bars
USA,509886,99% Dark & Pure
USA,178452,After Nines
USA,121536,Almond Choco
USA,174507.75,Baker's Choco Chips
USA,357504.75,Caramel Stuffed Bars
USA,336757.5,Choco Coated Almonds
USA,454756.5,Drinking Coco
USA,141819.75,Eclairs
USA,431892,Fruit & Nut Bars
USA,590843.25,Manuka Honey Choco
USA,396513,Milk Bars
USA,395100,Mint Chip Choco
USA,82953,Orange Choco
USA,489046.5,Organic Choco Syrup
USA,684524.25,Peanut Butter Cubes
USA,609360.75,Raspberry Choco
USA,305871.75,Smooth Silky Salty
USA,460284.75,Spicy Special Slims
USA,311985,White Choc
